telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
0,1,0,0,5,1,31,18,0
0,0,0,1,5,1,58,18,0
0,1,1,1,0,1,39,13,0
0,1,0,1,5,1,58,22,0
0,1,0,1,6,9,61,1,0
0,1,0,1,2,4,39,15,0
0,0,1,1,5,9,58,24,0
0,1,1,1,6,4,58,7,0
0,0,1,1,2,4,58,7,0
0,1,1,1,5,9,39,31,0
0,1,0,1,6,4,58,7,0
0,0,0,0,5,1,58,18,0
0,1,0,1,5,1,58,18,0
0,0,0,1,5,1,58,18,0
0,1,0,1,2,4,39,1,0
0,1,0,1,5,1,61,18,0
0,1,1,0,5,1,31,18,0
0,1,0,1,5,1,58,30,0
0,1,0,1,5,1,88,18,0
0,0,0,1,5,1,75,18,0
0,1,1,0,5,1,31,18,0
0,1,1,1,5,1,58,18,0
0,1,1,1,6,5,22,18,0
0,1,0,1,5,1,61,31,0
0,1,1,1,0,1,61,18,0
0,1,0,0,5,1,31,18,0
0,1,1,1,5,1,58,31,0
0,1,1,0,5,1,31,18,0
0,1,1,1,1,1,22,26,0
0,1,1,1,5,1,58,18,0
0,1,0,1,5,1,22,31,0
0,1,1,0,5,1,31,18,0
0,1,0,1,2,9,22,31,0
0,1,1,1,6,4,58,1,0
0,1,1,1,0,1,61,9,0
0,1,0,1,5,1,11,31,0
1,1,1,2,4,1,22,12,0
0,1,0,1,5,1,58,30,0
0,1,0,1,0,1,25,0,0
0,1,1,0,5,1,31,18,0
0,1,0,1,2,1,39,18,0
0,1,1,1,5,1,95,12,0
0,1,1,1,2,1,89,3,0
0,1,1,1,5,1,58,18,0
0,1,1,1,0,1,22,18,0
0,1,0,1,6,9,26,31,0
0,1,0,3,2,4,26,7,0
0,1,0,1,2,1,39,18,0
0,1,0,1,2,9,22,18,0
0,1,0,1,6,9,51,18,0
0,0,0,1,6,1,123,12,0
0,1,0,1,2,4,66,23,0
0,1,1,0,5,1,31,18,0
0,1,0,1,2,4,39,7,0
0,1,1,1,0,1,52,24,0
0,1,0,0,6,1,8,18,0
0,1,1,0,5,1,31,18,0
0,1,0,1,5,1,58,18,0
0,1,0,3,2,4,39,1,0
0,1,0,1,5,1,58,31,0
0,1,1,0,5,1,31,18,0
0,1,0,1,5,1,119,17,0
0,1,1,1,0,1,58,26,0
0,1,1,1,5,1,58,31,0
0,1,1,1,2,1,61,6,0
0,1,1,1,5,1,89,2,0
0,1,0,1,5,1,119,12,0
0,1,0,1,5,1,89,18,0
0,1,0,1,5,9,49,20,0
0,1,0,1,0,1,75,29,0
0,1,0,1,0,1,39,18,0
0,1,0,1,5,1,75,33,0
0,1,0,1,5,1,58,18,0
0,1,1,0,5,1,31,18,0
0,1,1,1,5,1,61,12,0
0,1,1,0,5,1,31,18,0
0,1,1,1,0,1,61,22,0
0,1,0,0,5,1,31,18,0
0,1,0,1,5,1,58,18,0
1,1,1,0,5,1,58,18,0
0,1,0,1,0,1,61,7,0
0,1,0,1,2,1,58,18,0
0,1,0,1,5,1,58,22,0
0,1,0,2,4,4,58,31,0
0,1,0,1,2,4,66,1,0
0,1,1,0,2,1,31,11,0
0,1,0,1,5,1,58,18,0
0,1,1,1,5,1,75,0,0
0,1,1,4,5,1,58,18,0
0,1,0,1,1,1,38,7,0
0,1,0,1,5,1,119,29,0
0,1,0,0,5,1,31,18,0
0,1,0,1,6,9,98,11,0
0,0,1,1,5,1,58,18,0
0,1,1,0,5,1,31,18,0
0,1,0,1,5,1,58,22,0
0,1,0,1,5,1,58,18,0
0,1,0,1,0,1,69,34,0
0,1,1,1,5,1,29,9,0
0,0,1,1,5,1,45,22,0
0,1,0,1,5,1,58,18,0
0,0,0,1,5,1,22,18,0
0,1,1,1,5,1,98,11,0
0,1,0,1,2,4,39,7,0
0,0,0,0,0,1,6,18,1
0,1,0,3,2,4,39,7,0
0,1,0,3,5,1,0,0,0
1,0,0,3,5,1,58,18,0
0,1,1,1,0,1,75,12,0
0,1,1,1,0,1,59,6,0
0,1,1,1,1,1,49,22,0
0,1,1,1,5,1,58,18,0
0,1,1,0,5,1,31,18,0
1,1,1,1,1,0,58,31,0
0,1,1,1,6,4,58,1,0
0,0,0,1,2,1,22,12,0
0,1,1,1,5,1,34,26,0
0,0,1,1,5,1,58,18,0
0,1,1,1,1,1,61,22,0
0,1,1,1,4,5,39,6,0
0,0,0,1,5,1,58,18,0
0,0,0,1,5,4,23,15,0
0,1,0,1,2,4,39,7,0
0,0,0,1,5,1,39,18,0
0,1,1,1,2,1,75,9,0
0,0,1,1,0,1,80,18,0
0,1,1,1,5,1,58,18,0
0,0,0,1,5,1,58,18,0
0,1,1,1,5,1,58,18,0
0,0,0,1,5,1,58,18,0
0,1,1,1,6,1,63,18,0
0,0,0,1,5,1,75,18,0
0,0,1,1,5,9,58,18,0
0,1,1,0,5,1,31,18,0
0,1,1,1,5,9,58,29,0
0,1,1,1,5,1,58,18,0
0,0,0,1,5,1,58,8,0
0,1,1,1,5,5,72,33,0
0,1,0,1,2,4,37,7,0
0,1,0,1,5,1,58,18,0
0,1,0,3,2,4,22,1,0
0,1,1,1,5,1,61,4,0
0,0,0,0,5,1,58,18,0
0,1,0,1,5,1,58,18,0
1,1,1,1,5,1,58,12,0
0,1,0,1,5,1,58,24,0
0,1,0,1,5,1,53,12,0
0,1,0,1,5,1,58,18,0
0,1,0,1,0,1,30,22,0
0,1,0,1,5,1,11,31,0
0,1,1,1,0,9,4,31,0
0,1,1,0,5,1,31,11,0
0,1,0,1,5,1,22,18,0
0,1,0,2,4,1,77,18,0
0,1,0,1,5,1,58,18,0
0,1,0,1,0,4,39,7,0
0,1,0,1,0,1,105,31,0
0,1,1,1,0,1,58,18,0
0,1,0,1,5,1,58,18,0
0,0,0,1,5,1,58,18,0
0,1,1,1,6,4,58,1,0
0,1,0,3,2,4,51,7,0
0,1,1,0,2,1,31,11,0
0,1,0,1,5,1,22,18,0
0,1,1,0,5,1,8,13,0
0,1,0,1,2,4,78,7,0
0,1,1,1,5,1,58,18,0
0,1,0,3,2,4,119,1,0
0,1,1,0,5,1,31,18,0
0,1,0,1,0,1,22,18,0
1,1,0,1,2,1,119,7,0
0,0,0,1,5,1,57,18,0
0,1,0,1,5,1,11,18,0
0,1,0,1,5,1,58,18,0
0,1,1,1,6,4,49,1,0
0,1,1,1,5,1,58,18,0
0,1,0,1,2,1,107,0,0
0,1,1,1,5,1,61,0,0
0,0,0,1,5,1,39,18,0
0,1,0,1,5,1,58,18,0
0,0,0,0,5,1,58,18,0
0,1,1,1,0,1,58,18,0
0,0,0,1,0,1,112,18,0
0,1,1,0,5,1,31,18,0
0,1,1,0,5,1,31,18,0
0,1,0,1,6,9,6,7,0
0,1,1,1,5,1,61,31,0
0,1,0,1,5,1,8,18,0
0,0,0,1,0,4,59,7,0
0,1,0,1,5,1,6,12,0
0,1,0,3,5,1,58,18,0
0,1,1,0,5,1,31,18,0
0,1,0,3,2,4,39,1,0
0,1,0,0,2,4,107,36,0
0,1,0,1,2,4,39,7,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,9,22,18,0
0,1,1,1,5,1,58,18,0
0,1,0,1,5,1,88,12,0
0,1,0,3,2,4,26,7,0
0,1,0,1,2,4,39,7,0
0,1,0,1,0,1,117,7,0
0,1,1,1,5,1,58,18,0
0,1,0,1,5,1,22,31,0
0,1,1,1,6,1,75,31,0
0,1,1,1,5,5,58,18,0
0,0,1,1,0,1,61,9,0
0,1,1,0,5,1,31,18,0
0,1,1,1,5,1,58,18,0
0,1,1,1,6,1,58,22,0
0,1,1,1,5,1,58,18,0
0,1,0,3,2,4,59,7,0
0,1,1,1,5,1,75,12,0
0,0,0,1,2,1,22,12,0
0,1,1,1,5,1,19,22,0
0,1,0,1,2,4,39,7,0
0,0,0,1,5,1,58,18,0
0,0,0,3,0,0,35,31,0
0,1,1,0,5,1,31,18,0
0,0,0,1,5,1,51,23,0
0,1,1,1,5,1,58,18,0
0,1,0,1,5,1,14,21,0
0,1,0,1,2,4,26,7,0
0,1,0,1,2,9,26,31,0
0,1,0,1,2,4,39,1,0
0,1,0,1,5,1,22,9,0
0,1,1,1,5,5,58,11,0
0,1,1,1,5,1,30,22,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,58,12,0
0,1,0,1,2,1,49,24,0
0,1,0,1,2,4,59,1,0
0,0,0,1,5,1,0,18,0
0,1,1,1,6,4,58,7,0
0,1,1,1,2,4,39,7,0
0,1,1,1,5,2,58,3,0
0,1,1,1,5,1,119,31,0
0,0,0,1,2,4,22,1,1
0,0,0,1,5,1,37,18,0
0,1,0,1,2,4,59,1,0
0,1,0,1,2,4,26,7,0
0,1,1,1,0,1,7,12,0
0,1,0,1,0,1,39,20,0
0,1,0,1,5,1,58,12,0
0,1,0,1,2,10,107,4,0
0,1,0,1,5,1,58,18,0
0,0,0,1,5,1,75,2,0
0,1,1,0,5,1,31,18,0
0,1,0,1,0,6,0,0,0
0,1,1,2,4,7,29,3,0
0,1,0,1,2,4,107,1,0
0,1,0,3,2,4,31,7,0
0,1,1,0,5,1,31,18,0
0,1,0,1,2,4,26,7,0
0,0,0,1,6,1,39,13,0
0,1,0,1,5,1,11,31,0
0,1,1,0,5,1,31,18,0
0,0,1,1,3,3,51,16,0
0,1,0,4,5,1,112,18,0
0,1,1,1,0,0,61,9,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,58,12,0
0,0,0,1,5,1,58,18,0
0,1,1,4,0,9,27,31,0
0,1,0,1,5,1,58,24,0
0,1,0,0,5,1,31,18,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,58,18,0
0,1,1,1,5,1,58,18,0
1,0,0,1,4,1,8,18,0
0,1,1,1,6,4,75,7,0
0,1,1,1,5,1,75,22,0
0,1,0,1,0,1,26,1,0
0,1,1,1,6,4,112,33,0
0,1,0,1,0,1,39,9,0
0,1,1,1,5,1,58,18,0
0,1,1,4,4,5,72,33,0
0,1,1,1,0,1,58,5,0
0,1,1,0,5,1,31,18,0
0,1,1,1,5,1,58,18,0
0,0,1,3,2,9,26,18,0
0,0,0,1,5,1,58,18,1
1,1,0,0,5,1,58,18,0
0,1,1,1,5,1,75,18,0
0,0,0,1,5,1,75,2,0
0,1,1,1,5,1,58,23,0
0,1,1,1,5,1,12,31,0
0,1,0,1,2,4,107,23,0
0,1,1,1,6,9,6,15,0
0,1,1,0,2,1,31,11,0
0,1,0,1,2,4,22,7,0
0,1,1,1,5,1,22,12,0
0,1,1,1,3,1,103,27,0
0,0,1,1,5,1,101,18,0
0,0,0,1,5,1,57,18,0
0,1,1,0,5,1,31,18,0
0,1,0,1,2,4,88,7,0
0,1,0,1,5,1,58,18,0
0,1,1,1,5,1,72,6,0
0,1,1,0,2,1,31,11,0
0,1,1,1,2,4,0,0,0
0,1,1,1,6,9,75,22,0
0,0,0,1,5,1,58,18,0
0,1,1,1,5,1,58,31,0
0,1,1,1,5,1,72,12,0
0,1,0,3,2,4,39,7,0
0,0,0,4,4,1,58,25,0
0,1,1,1,5,1,119,18,0
0,1,0,3,4,1,58,18,0
0,1,0,1,2,4,66,1,0
0,1,1,1,5,1,22,18,0
0,1,0,1,2,4,22,7,0
0,1,1,0,5,1,31,18,0
0,1,1,0,5,1,31,18,0
0,1,1,1,2,4,51,16,0
0,1,0,1,1,9,61,12,0
0,0,0,3,0,9,107,20,0
0,1,1,1,5,1,21,12,1
0,1,1,1,5,1,39,12,0
0,1,1,0,2,1,31,11,0
0,1,1,0,5,1,31,18,0
0,1,1,1,0,4,8,7,0
0,0,0,1,1,1,39,18,0
0,1,0,1,5,1,58,18,0
0,1,0,1,2,4,51,1,0
1,0,1,1,6,9,22,18,0
0,1,0,3,2,4,39,7,0
0,1,1,1,5,1,58,12,0
0,0,0,1,5,1,51,18,1
0,1,1,2,6,1,51,23,0
0,0,1,1,0,1,107,31,0
0,1,1,0,5,1,31,18,0
0,1,1,1,5,9,61,18,0
0,1,1,1,6,9,119,12,0
0,1,1,1,5,1,58,18,0
0,1,1,1,5,1,58,18,0
0,1,1,0,5,1,31,18,0
0,1,1,0,5,1,31,18,0
0,1,0,1,0,1,22,31,0
0,1,0,1,5,1,58,18,0
0,1,1,0,5,1,31,18,0
0,1,1,1,2,9,51,16,0
0,1,0,1,2,4,26,7,0
0,1,0,1,5,1,58,12,0
0,1,1,1,2,1,53,1,0
0,1,0,1,2,4,66,1,0
0,1,0,1,2,4,37,7,0
0,1,0,1,5,1,88,12,1
0,1,0,1,2,4,37,20,0
0,1,1,1,5,1,58,18,0
0,1,1,1,5,1,58,12,1
0,1,0,1,0,1,22,7,0
0,1,1,1,1,5,24,12,0
0,1,0,1,5,1,58,18,0
0,1,1,1,5,1,88,12,0
0,1,1,1,6,4,58,1,0
0,1,1,3,2,4,69,23,0
0,1,0,1,6,1,58,12,0
0,1,0,1,5,1,11,18,0
0,1,1,1,5,1,58,18,0
0,1,0,1,2,4,39,1,0
0,1,1,1,5,4,94,1,0
0,1,1,1,2,4,119,7,0
0,1,0,1,5,1,58,18,0
0,0,0,1,5,1,75,18,0
0,0,0,0,2,9,58,17,0
0,1,1,0,5,1,31,18,0
0,1,0,1,2,4,39,7,0
0,1,0,1,0,1,39,18,0
1,0,0,1,2,4,39,31,0
0,1,0,1,2,1,52,26,0
0,1,1,1,5,1,22,12,0
0,1,1,1,5,2,88,23,1
0,1,0,1,5,1,21,18,0
0,1,1,1,5,1,119,18,0
0,0,0,1,6,1,98,11,0
0,1,0,1,0,1,9,31,0
0,1,1,0,2,4,26,7,0
0,1,1,1,5,1,31,11,0
0,1,1,1,2,1,19,29,0
0,1,1,3,2,4,119,7,0
0,1,1,1,0,1,22,8,0
0,1,1,1,5,1,58,18,0
0,1,0,1,2,1,52,22,0
0,0,0,1,5,1,22,18,0
0,1,0,1,2,1,112,25,0
0,1,1,1,5,1,29,23,0
0,0,0,1,5,1,75,18,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,75,22,0
0,1,0,1,5,1,58,18,0
0,1,1,1,5,1,61,17,0
0,1,1,0,5,1,31,18,0
0,1,1,1,0,9,94,31,0
0,1,0,3,2,10,112,31,0
0,1,1,0,2,1,31,11,0
0,1,0,1,2,4,39,1,0
0,1,0,1,5,1,61,12,0
0,1,1,3,5,1,51,16,0
0,1,0,1,5,1,105,36,0
0,1,0,1,5,1,11,18,0
0,1,1,1,6,4,53,1,0
0,1,0,1,5,1,22,18,0
1,0,0,1,5,1,123,12,0
0,1,1,1,5,1,58,12,1
0,1,0,0,5,1,58,9,0
0,1,0,1,5,1,11,18,0
0,1,0,1,6,2,51,16,0
0,1,0,1,2,4,37,7,0
1,0,0,1,2,1,22,18,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,11,18,0
0,1,0,1,5,1,22,31,0
0,1,0,1,5,1,58,18,0
0,1,1,0,5,1,31,18,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,112,22,0
0,1,0,1,2,4,26,7,0
0,1,0,1,2,1,58,1,0
0,1,0,1,5,1,72,20,0
0,0,0,0,5,1,58,18,0
0,0,1,1,6,9,119,22,0
0,1,0,3,2,4,37,7,0
0,1,1,1,5,1,58,18,0
0,1,1,1,5,1,58,12,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,58,18,0
0,1,1,1,2,1,61,12,0
0,1,0,3,2,4,39,1,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,19,18,0
0,1,0,1,5,1,72,6,0
0,1,1,0,5,1,31,18,0
0,1,1,1,0,1,58,22,0
0,1,0,1,5,1,58,18,0
0,1,1,0,5,1,31,18,0
0,1,0,1,5,1,58,12,0
0,1,0,1,0,1,58,18,0
0,1,1,1,5,1,58,18,0
0,1,1,0,5,1,31,18,0
0,1,1,0,5,1,31,18,0
0,1,0,1,5,1,11,31,0
0,1,1,1,0,9,75,31,0
0,1,0,3,5,1,30,12,0
0,1,1,0,5,1,31,18,0
0,1,1,0,5,1,31,18,0
0,1,0,1,5,1,22,18,0
0,0,0,1,5,1,58,18,0
0,1,1,1,2,4,15,16,0
0,1,1,0,5,1,31,18,0
0,1,1,3,2,4,61,5,0
0,1,0,3,2,4,25,7,0
0,0,0,1,5,1,22,36,0
0,1,0,1,1,5,22,12,0
1,1,1,1,5,9,29,9,0
0,1,1,0,5,1,31,18,0
0,0,0,1,2,9,61,12,0
0,1,0,1,5,1,75,27,0
0,1,0,1,5,1,58,25,0
0,1,1,1,5,1,61,31,0
0,1,1,1,5,1,61,9,0
0,0,0,1,1,1,51,8,0
0,1,0,1,5,1,22,12,0
0,1,1,1,5,1,58,18,0
0,0,1,1,6,9,39,13,0
0,0,0,1,5,1,58,18,0
0,1,0,1,5,1,75,22,0
1,0,0,1,5,1,8,5,0
0,1,0,1,1,1,58,18,0
0,1,0,1,5,1,22,31,0
0,1,0,1,5,1,58,18,0
0,1,1,1,5,1,69,20,0
0,0,0,1,5,1,51,18,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,58,18,0
0,1,0,1,2,4,66,7,0
1,1,1,1,0,4,67,23,0
0,0,0,1,6,4,75,22,0
0,1,0,3,2,4,37,7,0
0,1,0,1,5,1,11,18,0
0,1,0,1,2,4,66,7,0
0,1,0,1,0,1,53,17,0
0,1,1,0,5,1,31,18,0
0,1,1,1,5,1,88,23,1
0,1,1,1,0,1,22,12,0
0,1,1,0,5,1,31,18,0
0,1,0,1,5,1,61,12,0
0,0,1,1,6,9,25,31,0
0,1,0,3,0,0,108,18,0
0,1,0,1,0,4,39,20,0
0,1,1,0,5,1,31,18,0
0,1,1,1,6,4,126,18,0
0,1,0,1,5,1,75,22,0
0,1,0,1,5,1,58,18,0
0,1,0,1,5,1,58,12,0
0,1,1,1,2,9,51,16,0
0,1,0,1,5,9,89,8,0
0,1,0,1,2,9,22,24,0
0,1,1,0,5,1,31,18,0
0,1,0,1,5,1,19,4,0
0,1,1,1,6,1,1,13,0
0,1,1,1,5,1,58,23,0
0,1,1,1,2,9,58,31,0
0,1,0,1,5,1,22,22,0
0,1,1,0,5,1,61,12,0
0,1,1,1,0,1,39,0,0
0,0,0,1,2,1,58,18,0
0,1,1,1,0,1,61,5,0
0,0,0,1,5,1,39,18,0
0,1,1,1,6,4,59,31,0
0,0,1,1,0,1,76,18,0
0,1,1,1,5,1,58,18,0
0,0,0,1,5,1,72,18,0
0,1,1,1,2,2,61,31,0
0,1,0,1,5,1,58,18,0
0,1,1,1,5,1,29,23,0
